,Prompt,Tone,Writer Score,Cross_Plag Score,ZeroGPT Score,Sapling Score
0,The Mona Lisa,formal,0.06,0.01,1.0,1.0
1,The Mona Lisa,informal,0.93,1.0,1.0,0.99
2,The Mona Lisa,anxious,0.68,1.0,1.0,1.0
3,The Mona Lisa,optimistic,0.8,1.0,0.2,0.99
4,The Mona Lisa,persuasive,0.7,0.59,0.74,1.0
5,Starry night,formal,0.9,0.02,0.8,1.0
6,Starry night,informal,0.63,1.0,1.0,0.99
7,Starry night,anxious,0.08,0.74,0.64,1.0
8,Starry night,optimistic,0.09,1.0,0.0,1.0
9,Starry night,persuasive,0.33,1.0,0.64,1.0
10,The Last Supper,formal,0.05,0.01,0.35,0.0
11,The Last Supper,informal,0.88,1.0,1.0,0.99
12,The Last Supper,anxious,0.91,1.0,1.0,1.0
13,The Last Supper,optimistic,0.46,1.0,1.0,1.0
14,The Last Supper,persuasive,0.27,1.0,0.76,1.0
15,The Sistine Chapel,formal,0.0,0.01,0.82,0.01
16,The Sistine Chapel,informal,0.04,0.19,1.0,1.0
17,The Sistine Chapel,anxious,0.16,0.01,0.0,0.0
18,The Sistine Chapel,optimistic,0.54,1.0,1.0,1.0
19,The Sistine Chapel,persuasive,0.01,0.09,0.69,1.0
20,The Persistence of Memory,formal,0.21,0.1,0.0,1.0
21,The Persistence of Memory,informal,0.34,0.13,0.67,1.0
22,The Persistence of Memory,anxious,0.96,1.0,0.6,1.0
23,The Persistence of Memory,optimistic,0.16,0.67,0.0,0.99
24,The Persistence of Memory,persuasive,0.44,1.0,0.0,0.99
25,Nighthawks,formal,0.95,1.0,0.7,1.0
26,Nighthawks,informal,0.2,0.97,0.0,1.0
27,Nighthawks,anxious,0.12,0.99,0.0,0.0
28,Nighthawks,optimistic,0.97,1.0,0.35,1.0
29,Nighthawks,persuasive,0.8,1.0,0.43,1.0
30,Bird in Space,formal,0.89,0.01,0.0,0.0
31,Bird in Space,informal,0.27,0.05,0.0,0.0
32,Bird in Space,anxious,0.05,0.54,1.0,1.0
33,Bird in Space,optimistic,0.92,1.0,0.58,1.0
34,Bird in Space,persuasive,0.0,0.01,0.0,0.0
35,The Treachery of Images,formal,0.75,1.0,0.54,1.0
36,The Treachery of Images,informal,0.0,0.02,0.0,0.0
37,The Treachery of Images,anxious,0.01,0.01,0.0,0.0
38,The Treachery of Images,optimistic,0.76,0.96,1.0,1.0
39,The Treachery of Images,persuasive,0.38,1.0,0.81,1.0
40,The Raft of the Medusa,formal,0.06,0.01,0.5,0.18
41,The Raft of the Medusa,informal,0.44,0.56,1.0,0.88
42,The Raft of the Medusa,anxious,0.01,0.01,0.0,0.0
43,The Raft of the Medusa,optimistic,0.33,0.01,1.0,0.0
44,The Raft of the Medusa,persuasive,0.01,0.22,0.69,0.0
45,The Night Watch,formal,0.17,0.01,0.24,0.0
46,The Night Watch,informal,0.75,0.6,0.8,1.0
47,The Night Watch,anxious,0.0,0.01,0.0,0.0
48,The Night Watch,optimistic,1.0,1.0,0.85,1.0
49,The Night Watch,persuasive,0.01,0.05,0.38,0.0
50,Ode to Joy,formal,0.57,0.76,0.66,1.0
51,Ode to Joy,informal,0.49,1.0,1.0,0.99
52,Ode to Joy,anxious,0.92,1.0,1.0,1.0
53,Ode to Joy,optimistic,0.04,0.94,0.73,0.77
54,Ode to Joy,persuasive,0.0,0.01,0.29,0.0
55,Beethoven's Fifth,formal,0.17,0.01,0.89,0.01
56,Beethoven's Fifth,informal,0.03,0.99,1.0,0.09
57,Beethoven's Fifth,anxious,0.87,1.0,0.71,1.0
58,Beethoven's Fifth,optimistic,0.57,0.99,0.64,1.0
59,Beethoven's Fifth,persuasive,0.26,0.97,1.0,0.0
60,Suite Bergamasque,formal,0.0,0.01,0.0,0.0
61,Suite Bergamasque,informal,0.69,0.46,0.44,1.0
62,Suite Bergamasque,anxious,0.85,0.77,0.0,0.99
63,Suite Bergamasque,optimistic,0.06,0.99,0.0,0.0
64,Suite Bergamasque,persuasive,0.05,1.0,0.0,0.0
65,Clair de Lune,formal,0.06,0.01,0.0,0.0
66,Clair de Lune,informal,0.01,0.01,0.0,0.0
67,Clair de Lune,anxious,0.4,0.81,0.0,0.0
68,Clair de Lune,optimistic,0.18,0.02,0.0,0.0
69,Clair de Lune,persuasive,0.94,1.0,0.62,1.0
70,Bohemian Rhapsody,formal,0.92,1.0,1.0,1.0
71,Bohemian Rhapsody,informal,0.09,0.19,0.8,1.0
72,Bohemian Rhapsody,anxious,0.09,1.0,1.0,1.0
73,Bohemian Rhapsody,optimistic,1.0,1.0,0.85,1.0
74,Bohemian Rhapsody,persuasive,0.96,1.0,0.73,1.0
75,Fur Elise,formal,0.07,0.01,0.57,1.0
76,Fur Elise,informal,0.19,1.0,0.81,1.0
77,Fur Elise,anxious,0.76,0.32,0.0,1.0
78,Fur Elise,optimistic,0.01,0.5,0.67,1.0
79,Fur Elise,persuasive,0.05,0.02,0.0,0.96
80,In the Hall of the Mountain King,formal,0.98,0.91,0.0,1.0
81,In the Hall of the Mountain King,informal,0.93,0.99,0.0,1.0
82,In the Hall of the Mountain King,anxious,0.0,0.01,0.0,0.0
83,In the Hall of the Mountain King,optimistic,0.2,0.55,0.0,1.0
84,In the Hall of the Mountain King,persuasive,0.94,1.0,0.86,1.0
85,Ride of the Valkyries,formal,0.03,0.01,0.0,0.0
86,Ride of the Valkyries,informal,1.0,1.0,0.52,0.99
87,Ride of the Valkyries,anxious,0.01,0.01,0.0,0.0
88,Ride of the Valkyries,optimistic,0.82,0.39,1.0,0.0
89,Ride of the Valkyries,persuasive,0.76,0.96,1.0,1.0
90,Requiem,formal,0.98,1.0,1.0,1.0
91,Requiem,informal,0.0,0.01,1.0,0.0
92,Requiem,anxious,0.11,0.28,0.43,0.0
93,Requiem,optimistic,0.12,1.0,0.0,0.0
94,Requiem,persuasive,0.95,1.0,1.0,1.0
95,Moonlight Sonata,formal,0.23,0.01,0.0,0.0
96,Moonlight Sonata,informal,0.05,0.85,0.97,0.0
97,Moonlight Sonata,anxious,0.01,0.54,1.0,0.0
98,Moonlight Sonata,optimistic,0.62,1.0,1.0,1.0
99,Moonlight Sonata,persuasive,0.08,1.0,1.0,1.0
100,World War 2,formal,0.65,1.0,1.0,1.0
101,World War 2,informal,1.0,1.0,1.0,0.99
102,World War 2,anxious,0.03,0.41,1.0,1.0
103,World War 2,optimistic,0.06,0.02,1.0,1.0
104,World War 2,persuasive,0.03,0.97,1.0,1.0
105,Emancipation of slavery,formal,0.01,0.01,1.0,1.0
106,Emancipation of slavery,informal,0.62,0.83,1.0,0.99
107,Emancipation of slavery,anxious,0.28,0.42,0.0,1.0
108,Emancipation of slavery,optimistic,0.1,0.91,1.0,1.0
109,Emancipation of slavery,persuasive,0.97,0.99,1.0,1.0
110,The Roman Empire,formal,0.17,0.01,0.67,1.0
111,The Roman Empire,informal,0.29,0.01,0.42,1.0
112,The Roman Empire,anxious,0.17,0.33,0.0,1.0
113,The Roman Empire,optimistic,1.0,1.0,0.62,1.0
114,The Roman Empire,persuasive,0.75,1.0,0.79,1.0
115,The Civil Rights Movement,formal,0.11,0.01,0.79,1.0
116,The Civil Rights Movement,informal,0.95,1.0,1.0,0.99
117,The Civil Rights Movement,anxious,0.0,0.01,0.58,0.0
118,The Civil Rights Movement,optimistic,0.46,0.57,1.0,1.0
119,The Civil Rights Movement,persuasive,0.02,0.15,1.0,0.76
120,The signing of the Declaration of Independence,formal,0.07,0.07,1.0,0.99
121,The signing of the Declaration of Independence,informal,0.0,0.01,1.0,1.0
122,The signing of the Declaration of Independence,anxious,0.0,0.56,0.55,1.0
123,The signing of the Declaration of Independence,optimistic,0.98,1.0,1.0,1.0
124,The signing of the Declaration of Independence,persuasive,0.46,1.0,0.9,1.0
125,The Black Plague,formal,0.4,0.01,0.76,1.0
126,The Black Plague,informal,0.84,0.23,1.0,0.99
127,The Black Plague,anxious,0.0,0.61,1.0,1.0
128,The Black Plague,optimistic,0.98,0.98,1.0,1.0
129,The Black Plague,persuasive,0.01,0.01,0.31,0.0
130,The bombing of Hiroshima,formal,0.0,0.1,1.0,0.99
131,The bombing of Hiroshima,informal,0.66,0.28,1.0,1.0
132,The bombing of Hiroshima,anxious,0.49,0.54,1.0,1.0
133,The bombing of Hiroshima,optimistic,0.0,0.28,1.0,1.0
134,The bombing of Hiroshima,persuasive,0.98,1.0,1.0,0.99
135,The French Revolution,formal,0.12,0.02,1.0,1.0
