num,topic,Prompt,Tone,Writer Score,Cross-Plag Score,ZeroGPT Score,Sapling Score
0,art,The Mona Lisa,formal,0.06,0.01,1,1
1,art,The Mona Lisa,informal,0.93,1,1,0.99
2,art,The Mona Lisa,anxious,0.68,1,1,1
3,art,The Mona Lisa,optimistic,0.8,1,0.2,0.99
4,art,The Mona Lisa,persuasive,0.7,0.59,0.74,1
5,art,Starry night,formal,0.9,0.02,0.8,1
6,art,Starry night,informal,0.63,1,1,0.99
7,art,Starry night,anxious,0.08,0.74,0.64,1
8,art,Starry night,optimistic,0.09,1,0,1
9,art,Starry night,persuasive,0.33,1,0.64,1
10,art,The Last Supper,formal,0.05,0.01,0.35,0
11,art,The Last Supper,informal,0.88,1,1,0.99
12,art,The Last Supper,anxious,0.91,1,1,1
13,art,The Last Supper,optimistic,0.46,1,1,1
14,art,The Last Supper,persuasive,0.27,1,0.76,1
15,art,The Sistine Chapel,formal,0,0.01,0.82,0.01
16,art,The Sistine Chapel,informal,0.04,0.19,1,1
17,art,The Sistine Chapel,anxious,0.16,0.01,0,0
18,art,The Sistine Chapel,optimistic,0.54,1,1,1
19,art,The Sistine Chapel,persuasive,0.01,0.09,0.69,1
20,art,The Persistence of Memory,formal,0.21,0.1,0,1
21,art,The Persistence of Memory,informal,0.34,0.13,0.67,1
22,art,The Persistence of Memory,anxious,0.96,1,0.6,1
23,art,The Persistence of Memory,optimistic,0.16,0.67,0,0.99
24,art,The Persistence of Memory,persuasive,0.44,1,0,0.99
25,art,Nighthawks,formal,0.95,1,0.7,1
26,art,Nighthawks,informal,0.2,0.97,0,1
27,art,Nighthawks,anxious,0.12,0.99,0,0
28,art,Nighthawks,optimistic,0.97,1,0.35,1
29,art,Nighthawks,persuasive,0.8,1,0.43,1
30,art,Bird in Space,formal,0.89,0.01,0,0
31,art,Bird in Space,informal,0.27,0.05,0,0
32,art,Bird in Space,anxious,0.05,0.54,1,1
33,art,Bird in Space,optimistic,0.92,1,0.58,1
34,art,Bird in Space,persuasive,0,0.01,0,0
35,art,The Treachery of Images,formal,0.75,1,0.54,1
36,art,The Treachery of Images,informal,0,0.02,0,0
37,art,The Treachery of Images,anxious,0.01,0.01,0,0
38,art,The Treachery of Images,optimistic,0.76,0.96,1,1
39,art,The Treachery of Images,persuasive,0.38,1,0.81,1
40,art,The Raft of the Medusa,formal,0.06,0.01,0.5,0.18
41,art,The Raft of the Medusa,informal,0.44,0.56,1,0.88
42,art,The Raft of the Medusa,anxious,0.01,0.01,0,0
43,art,The Raft of the Medusa,optimistic,0.33,0.01,1,0
44,art,The Raft of the Medusa,persuasive,0.01,0.22,0.69,0
45,art,The Night Watch,formal,0.17,0.01,0.24,0
46,art,The Night Watch,informal,0.75,0.6,0.8,1
47,art,The Night Watch,anxious,0,0.01,0,0
48,art,The Night Watch,optimistic,1,1,0.85,1
49,art,The Night Watch,persuasive,0.01,0.05,0.38,0
50,music,Ode to Joy,formal,0.57,0.76,0.66,1
51,music,Ode to Joy,informal,0.49,1,1,0.99
52,music,Ode to Joy,anxious,0.92,1,1,1
53,music,Ode to Joy,optimistic,0.04,0.94,0.73,0.77
54,music,Ode to Joy,persuasive,0,0.01,0.29,0
55,music,Beethoven's Fifth,formal,0.17,0.01,0.89,0.01
56,music,Beethoven's Fifth,informal,0.03,0.99,1,0.09
57,music,Beethoven's Fifth,anxious,0.87,1,0.71,1
58,music,Beethoven's Fifth,optimistic,0.57,0.99,0.64,1
59,music,Beethoven's Fifth,persuasive,0.26,0.97,1,0
60,music,Suite Bergamasque,formal,0,0.01,0,0
61,music,Suite Bergamasque,informal,0.69,0.46,0.44,1
62,music,Suite Bergamasque,anxious,0.85,0.77,0,0.99
63,music,Suite Bergamasque,optimistic,0.06,0.99,0,0
64,music,Suite Bergamasque,persuasive,0.05,1,0,0
65,music,Clair de Lune,formal,0.06,0.01,0,0
66,music,Clair de Lune,informal,0.01,0.01,0,0
67,music,Clair de Lune,anxious,0.4,0.81,0,0
68,music,Clair de Lune,optimistic,0.18,0.02,0,0
69,music,Clair de Lune,persuasive,0.94,1,0.62,1
70,music,Bohemian Rhapsody,formal,0.92,1,1,1
71,music,Bohemian Rhapsody,informal,0.09,0.19,0.8,1
72,music,Bohemian Rhapsody,anxious,0.09,1,1,1
73,music,Bohemian Rhapsody,optimistic,1,1,0.85,1
74,music,Bohemian Rhapsody,persuasive,0.96,1,0.73,1
75,music,Fur Elise,formal,0.07,0.01,0.57,1
76,music,Fur Elise,informal,0.19,1,0.81,1
77,music,Fur Elise,anxious,0.76,0.32,0,1
78,music,Fur Elise,optimistic,0.01,0.5,0.67,1
79,music,Fur Elise,persuasive,0.05,0.02,0,0.96
80,music,In the Hall of the Mountain King,formal,0.98,0.91,0,1
81,music,In the Hall of the Mountain King,informal,0.93,0.99,0,1
82,music,In the Hall of the Mountain King,anxious,0,0.01,0,0
83,music,In the Hall of the Mountain King,optimistic,0.2,0.55,0,1
84,music,In the Hall of the Mountain King,persuasive,0.94,1,0.86,1
85,music,Ride of the Valkyries,formal,0.03,0.01,0,0
86,music,Ride of the Valkyries,informal,1,1,0.52,0.99
87,music,Ride of the Valkyries,anxious,0.01,0.01,0,0
88,music,Ride of the Valkyries,optimistic,0.82,0.39,1,0
89,music,Ride of the Valkyries,persuasive,0.76,0.96,1,1
90,music,Requiem,formal,0.98,1,1,1
91,music,Requiem,informal,0,0.01,1,0
92,music,Requiem,anxious,0.11,0.28,0.43,0
93,music,Requiem,optimistic,0.12,1,0,0
94,music,Requiem,persuasive,0.95,1,1,1
95,music,Moonlight Sonata,formal,0.23,0.01,0,0
96,music,Moonlight Sonata,informal,0.05,0.85,0.97,0
97,music,Moonlight Sonata,anxious,0.01,0.54,1,0
98,music,Moonlight Sonata,optimistic,0.62,1,1,1
99,music,Moonlight Sonata,persuasive,0.08,1,1,1
100,history,World War 2,formal,0.65,1,1,1
101,history,World War 2,informal,1,1,1,0.99
